Location,Latitude,Longitude
Hooper town,37.75,-105.88
Hot Sulphur Springs town,40.07,-106.1
Hotchkiss town,38.8,-107.71
Howard,38.41,-105.84
Hudson town,40.09,-104.63
Hugo town,39.14,-103.47
Idaho Springs city,39.74,-105.5
Idalia,39.7,-102.29
Idledale,39.67,-105.24
Ignacio town,37.12,-107.64
Iliff town,40.76,-103.07
Indian Hills,39.63,-105.25
Inverness,39.58,-104.86
Jackson Lake,40.38,-104.07
Jamestown town,40.12,-105.39
Jansen,37.16,-104.55
Joes,39.66,-102.68
Johnson Village,38.81,-106.11
Johnstown town,40.35,-104.95
Julesburg town,40.98,-102.26
Keenesburg town,40.11,-104.51
Ken Caryl,39.58,-105.11
Kersey town,40.39,-104.57
Keystone,39.59,-105.94
Kim town,37.25,-103.35
Kiowa town,39.34,-104.46
Kirk,39.61,-102.59
Kit Carson town,38.76,-102.8
Kittredge,39.66,-105.3
Kremmling town,40.06,-106.38
La Jara town,37.27,-105.96
La Junta city,37.98,-103.55
La Junta Gardens,38,-103.55
La Salle town,40.35,-104.71
La Veta town,37.51,-105.01
Lafayette city,39.99,-105.1
Laird,40.08,-102.1
Lake City town,38.03,-107.31
Lakeside town,39.78,-105.06
Lakewood city,39.7,-105.12
Lamar city,38.08,-102.62
Laporte,40.64,-105.14
Larkspur town,39.23,-104.89
Las Animas city,38.07,-103.22
Lazy Acres,40.08,-105.33
Leadville city,39.25,-106.29
Leadville North,39.26,-106.31
Lewis,37.5,-108.66
Leyner,40.05,-105.11
Limon town,39.27,-103.69
Lincoln Park,38.43,-105.21
Littleton city,39.59,-105.02
Lochbuie town,40.01,-104.73
Log Lane Village town,40.27,-103.83
Loghill Village,38.2,-107.78
Loma,39.21,-108.81
Lone Tree city,39.53,-104.87
Longmont city,40.17,-105.1
Louisville city,39.97,-105.14
Louviers,39.48,-105
Loveland city,40.42,-105.06
Lynn,37.42,-104.64
Lyons town,40.22,-105.27
Manassa town,37.17,-105.94
Mancos town,37.35,-108.29
Manitou Springs city,38.86,-104.91
Manzanola town,38.11,-103.87
Marble town,39.07,-107.19
Maybell,40.52,-108.09
Maysville,38.53,-106.22
McCoy,39.91,-106.73
Mead town,40.23,-104.99
Meeker town,40.05,-107.9
Meridian,39.54,-104.85
Merino town,40.48,-103.35
Midland,38.85,-105.16
Milliken town,40.31,-104.86
Minturn town,39.55,-106.39
Moffat town,38,-105.91
Monte Vista city,37.58,-106.15
Montezuma town,39.58,-105.87
Montrose city,38.47,-107.86
Monument town,39.07,-104.86
Morgan Heights,40.29,-103.83
Morrison town,39.64,-105.19
Mount Crested Butte town,38.91,-106.96
Mountain Meadows,40.03,-105.38
Mountain View town,39.77,-105.06
Mountain Village town,37.93,-107.86
Mulford,39.41,-107.17
Naturita town,38.22,-108.57
Nederland town,39.96,-105.51
New Castle town,39.58,-107.53
Niwot,40.1,-105.16
No Name,39.56,-107.29
Norrie,39.33,-106.66
North La Junta,38,-103.52
North Washington,39.81,-104.98
Northglenn city,39.91,-104.98
Norwood town,38.13,-108.29
Nucla town,38.27,-108.55
Nunn town,40.71,-104.79
Oak Creek town,40.27,-106.96
Olathe town,38.61,-107.98
Olney Springs town,38.17,-103.94
Ophir town,37.86,-107.83
Orchard,40.33,-104.12
Orchard City town,38.81,-107.97
Orchard Mesa,39.04,-108.52
Ordway town,38.22,-103.76
Otis town,40.15,-102.96
Ouray city,38.03,-107.67
Ovid town,40.96,-102.39
Padroni,40.78,-103.17
Pagosa Springs town,37.27,-107.03
Palisade town,39.11,-108.36
Palmer Lake town,39.12,-104.91
Paoli town,40.61,-102.47
Paonia town,38.87,-107.59
Parachute town,39.45,-108.05
Paragon Estates,39.98,-105.18
Parker town,39.51,-104.77
Parshall,40.06,-106.18
Peetz town,40.96,-103.11
Penrose,38.42,-105
Peoria,39.66,-104.15
Perry Park,39.26,-104.98
Peyton,39.03,-104.49
Phippsburg,40.23,-106.95
Piedra,37.44,-107.17
Pierce town,40.63,-104.76
Pine Brook Hill,40.05,-105.31
Pitkin town,38.61,-106.52
Platteville town,40.22,-104.84
Poncha Springs town,38.51,-106.1
Ponderosa Park,39.4,-104.64
Portland,38.09,-107.7
Pritchett town,37.37,-102.86
Pueblo city,38.27,-104.61
Pueblo West,38.36,-104.73
Ramah town,39.12,-104.17
Rangely town,40.09,-108.78
Raymer (New Raymer) town,40.61,-103.84
Red Cliff town,39.51,-106.37
Red Feather Lakes,40.81,-105.59
Redlands,39.09,-108.66
Redstone,39.18,-107.24
Redvale,38.18,-108.41
Rico town,37.69,-108.03
Ridgway town,38.16,-107.75
Rifle city,39.54,-107.78
Rock Creek Park,38.7,-104.83
Rockvale town,38.36,-105.16
Rocky Ford city,38.05,-103.72
Rollinsville,39.92,-105.51
Romeo town,37.17,-105.99
Roxborough Park,39.45,-105.07
Rye town,37.92,-104.93
Saddle Ridge,40.31,-103.8
Saguache town,38.09,-106.14
Salida city,38.53,-106
Salt Creek,38.24,-104.59
San Acacio,37.21,-105.57
San Luis town,37.2,-105.42
Sanford town,37.26,-105.9
Sawpit town,37.99,-108
Security-Widefield,38.75,-104.71
Sedalia,39.44,-104.97
Sedgwick town,40.94,-102.53
Segundo,37.12,-104.74
Seibert town,39.3,-102.87
Seven Hills,40.04,-105.33
Severance town,40.53,-104.86
Shaw Heights,39.86,-105.04
Sheridan city,39.65,-105.02
Sheridan Lake town,38.47,-102.29
Sherrelwood,39.84,-105
Silt town,39.55,-107.65
Silver Cliff town,38.12,-105.41
Silver Plume town,39.7,-105.73
Silverthorne town,39.66,-106.09
Silverton town,37.81,-107.66
